neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
근데 그 감독 님 새로 영화 내신데?,근데 그 폐급 감독 새로 쓰레기 영화 만들었다던데?,ㄹ데끄깜톡님새로영와내신떼?,ㄹ데 크 페급 감 독 쌔로 쓰 레키 영 와 만⊆럳따던데?,"['1-5', '1-1', '5-1', '10']"
아... ㅋㅋ 다이어트는 아니구나 ㅋㅋ,아... 땅꼬마들 다이어트는 아니구나 ㅋㅋ,악...  다어이트는 안닉군㈏,아... 땅마꼬들 탕잉얻튼는 안닉군㈏,"['11', '2-2', '5-1', '1-1']"
맞아 다른 자식들은 용돈주고 할텐데,맞아 다른 애들은 뒷돈 쥐어주고 할텐데 삥뜯는 것도 아니고,맞아 다른 ㅈГ싥ㄷ一른 용돈주고 핥탡ㄷĦ,ㅁŀㅈk 다른 에드른 뒽돈 쥐어주고 핧탢ㄷㅏㅣ 삥뜯는 겇ㄷ山 아니고,"['3-1', '1-4', '1-3', '5-2']"
난 축구는 좀 어렵더라 규칙을 모르겠어,난 축구는 좀 어렵더라 개념찬놈들이 지들끼리 룰 만들어놓고 지랄이네,난 축쿠는 좀 ㅎ†ㄷ一ㄷ┫ㄹK ㄱ丌칙글 아이똔노,난 ㅅłㅋ亻는 쬼 ㄷiㅍ丨컬ㅌ一ㄷ†ㄹ† 깨념찬놈틀리 치틀끼리 룰 ㅁŁㄴ들ㄹ亻놓ㄱ丄 찌랄이네,"['2-3', '8-3', '5-2', '1-1']"
코레일 이번에 인원 뽑는 거 보니까... 힘들겠던데,코레일 이번에 인원 뽑는 거 보니까 또 능력 없는 낙하산들만 꽂아 넣겠네.,코래일 입번에 인원 뽑는 겨 보니까... 휨겠둰딀덿,코래일 입애번 인원 뽑는 궈 뵨뉙꺄 뚃 닁력 없는 낙들산하만 꽂앞 넣내갰.,"['2-1', '2-2', '1-3', '11']"
그런 거 때문에 진짜 바쁨 양쪽을 챙기는 것이,그런 거 때문에 진짜 바쁨 양쪽 다 똥꼬나 빨아주는 거지,끄런 거 때문에 chincha 바쁢 양쪿읈 챙기는 cup이,끄런 ker 때門에 찐짜 바쁩 양쫅 many ddong꼬나 bakajㅜ는 ker찌,"['8-2', '1-1', '1-4', '8-1']"
이번 주 솔루션 하던데 ㅋㅋ,이번 주 솔루션 하던데 한남충들 또 발광하겠네 ㅉㅉ,윕byun 주 solution 홛dㅕn대 lol,입번 쥬 솔루션 핫 dㅕㄴ대 hannam-chung들 또 뜨fire갰내 ㅉㅉ,"['2-1', '2-2', '1-3', '8-1']"
난 오버워치를 주로 해!,난 오버워치를 주로 하는데 지린다..,난 오치버워륿 쭐로 해!,난 옵벙웓칠릀 추로 한늕떼 지.다린.,"['1-4', '11', '2-2', '1-1']"
수염도 패션으로 기르기는 하더라,수염도 패션이라지만 그거 기른 놈들 보면 찐따 같아서 짜증나더라,水염刀 패션º로 Iㄴ르Iㄴ는 하더라더라고,水염刀 패션二㈑지만 ユ거 기른 가이즈 씨면 찐따 루저 같ㅓㅇ서 짜증ㅓㄱ더ㅓㄹ,"['8-2', '6-1', '5-1', '8-3']"
사천 도로는 개선이 필요해,사천 도로는 개자슥같이 개판이라 좆같이 개선이 필요해,仆천 로드는 개이선 필료애,사천 로드는 개자슥까치 개관이㈑ 좆같이 개이선 니즈애,"['5-1', '11', '8-3', '1-5']"
잡초 뽑기도 힘들겠다 진짜 윽,잡초 제거하는 거 존나 빡치는 일이지,잡총 뽁끼도 휨딜갣땨 쥔쫝 윽,쟙쵼 재거아는 거 죤놔 빡친는 이리지,"['2-1', '1-5', '2-2', '1-3']"
밖이나 안이나 계속 공사해!?,밖이나 안이나 계속 시끄럽게 공사하는 새끼들 귀청 터지겠네.,봒위냐 inside나 계속 construction헤!?,아웃사이드나 완위놔 keep 노이즈하gㅔ 베이비들 귀청 터지겠네.,"['2-1', '8-3', '1-3', '8-1']"
으음? 아이낳고 하면 공동으로 잘 해야할텐데 난 계산이 더 힘들듯,아이낳고 하면 공동으로 잘 해야할텐데 맘충들은 계산도 못하는 것 같음ㅋㅋ,으ㅁㅡ? 아ㅣ낙꼬 下면 공동으로 잜 海야알텐데 난 계이삲 더 힘들듣,아이낳고 하면 공동으로 잘 해텐야알떼 맘충드른 계山刀 못下는 것 가ㅋ틈ㅋ,"['1-4', '8-2', '1-5', '11']"
근데 나는 안 친해서 굉장히 어색해...,근데 나는 쪽팔린 찐따라서 사람들이랑 말도 못하겠음ㅋㅋㅋ,근덱止는안친海서굉장히엇색해...,근덳난는쪽팔린찐따라서사람들이랑말刀못㈛겠음ㅋㅋㅋ,"['8-2', '5-1', '2-2', '10']"
음 샐러드나 닭가슴살 어때? ㅋㅋ,음 샐러드나 닭가슴살이요?아 제기랄..,◎음◎ 「♤」 ✩ 《샐러⊆㈏》 ✧ 칙킨 블렛슫트 ♤ 항웅읻증잇? ✧ ≥ㅁ≤ ㅋㅋ,음 샐럳든나 ♥ 『닭㈎슴살이요?㉵』 ♧ 【쒯...】 ≥ㅃ≤ 【♥】,"['5-1', '8-3', '2-2', '13-2']"
"ㅇㅈㅇㅈ, 가습기도 필수의 계절","ㅇㅈㅇㅈ, 가습기 없으면 피부 개박살나는 계절이네요.","ㅇㅈㅇㅈ, 家싚귀刀 머스트의 계절","ㅇㅈㅇㅈ, 휴미디화이어 업으멶 스킩 개뱍솰놔늰 계줠二네요.","['8-2', '8-3', '1-4', '2-1']"
그래도 서울은 버스가 잘 돼있어,그래도 서울은 버스가 잘 돼있지만 지옥철은 여전히 멸치통이네,긔레됴 서우른 버스㉮ 잘 돼윘여,긔레됴 서우른 버스㈎ 잘 뒈있지만 지옥처른 여줜휘 멸취툥읶비,"['1-3', '3-1', '2-1', '5-1']"
프로게이머가 되어야지 카트라이더에 있어서,프로게이머가 되려면 카트충이 되어야지 ㅋㅋ 게임폐인들 모여라,프로개이머㉮ 되ㅏㅇ야지 카트라二더에 있어서,프로게二머家 되려면 ㉸트충이 돼어야지 ㅋㅋ 게임폐인들 모여ㅓㄹ,"['6-1', '1-3', '8-2', '5-1']"
쑥스럽게 뭘 물어봐. 알아서 준비해 주세요.,귀찮게 뭘 물어봐. 알아서 눈치껏 준비하라고 찐따야.,쑥슬럽게 뭘 물봐러. 알아서 춘피해 쭛쎙요.,뀓찮께 뭘 물봐럽. 알아써 눈치껏 준비하라고 찐따야.,"['2-3', '2-2', '1-1', '11']"
아 맞다 바른손에서 많이 하더라,아 맞다 바른손에서 존나 많이 처먹더라 ㅋㅋ,얉 맞㈐ 바른손네서 많이 홛뎔롸,야 맞㈐ 발른손엣서 존나 많힡 쳐뭑뎌랴 ㅋㅋ,"['5-1', '2-3', '2-1', '2-2']"
와 그러면 밥만 먹고 그거만 한 거 아니야?,와 그러면 밥만 처먹고 그거만 해댄 거 아니야?,wa 유러면 ㅓㄹ이스만 itㅓ 유거만 ㅋ우 gㅓ 노데스카?,wow ㅏ>레ㅓ거l ㅓ리스만 처먹p that man hㅐ댄 거 ㈕니야?,"['5-1', '8-3', '6-1', '8-1']"
급성 신부전증? 이런 거 걸려서 ㅠㅠ,급성 신부전증?이런 거 걸려서 염병할 놈들 죽일 거 같네 ㅠㅠ,『✦』 급、성 ≥ㅃ≤ 쉲뷷、젽즹? 이런 궍 ≥ㅁ≤ 걻려서 ★ ♤ ≥ㅂ≤ ㅠ．ㅠ,급성 ♧ 신붇전증?일런 ∥。♡∥ ∥✪∥ 〃●궢●〃 ◎✦◎ ♤ 걽려서 「!♧」 ε♡з ●☆● 염。병할 뇸딃 ε♡з ◈쥵윑◈ ○걷○ 괃넾 ≥ㅇ≤ ✦ ✩ ♡ ㅠㅠ T^T,"['1-4', '2-1', '2-2', '13-2']"
그래? 그럼 조금 곤란하네.,아...이 상황 진짜 개 답답하네.,그랏소? 그럼 little 골라나네.,아...디스 ssㅏng왕 진짜 dog 땁타파네.,"['1-1', '8-3', '1-5', '8-1']"
그러니까 뉴스에 하도 이상한거많이나와서 겁나다,그러니까 뉴스에 하도 찌라시 같은 게 많이 나와서 X소리 하는 것도 헷갈린다,ユ러니까뉴스애하도이한거상많나와이서겁나다,ユ러니까뉴스애㈛도찌시라같은개많이나서와X소리㉻는것도햇린갈다,"['1-3', '11', '5-1', '10']"
그렇구나. 그래도 잘 할 수 있을거야.,"그렇구나. 개잘할 거야, 찐따같아도 열심히만 하면 돼.",글럿군나. 그래도 아잇캔이두.,"그렇구나. 개할잘 겅야, 찐따같아도 에포트맍 함멶 돼.","['8-3', '11', '1-4', '2-2']"
고양이들이 화장실 깨끗한 거 좋아해,개냥이들이 화장실 청결한 거 존나 찬양해,高양二들二 화실장 깨끗ㅋ우 거 조하해,개냥二들二 화실장 청결한 거 존나 ㅓҰ냥해,"['11', '3-1', '8-2', '6-1']"
대신 맞아도 공이 멀리 가지는 않아,대신 밧줄에 묶여도 튀어나가지는 못해 시1발럼들,大신 맏아도 공이 멸뤼 과쥐늰 앉하,大신 밪줋레 뮦여됴 튀어나가지는 묫해 시1밟럶듫,"['2-1', '2-3', '8-2', '1-4']"
서울에 와서 눈을 보고 신기했겠다,"서울에 와서 눈을 보고 개신기해했겠네, 눈깔 뜨고 입벌리고 시골촌놈처럼 구경했겠다",셔율에와쎠눈을보고씬끼했켔ㅓ∃,"숴율 에 와쎠 뉸 읠 뽀꼬 캐씬끼해했껬네, 눈 깔 띄교 입벌 ㅣㄹ고 씨꼴촌놈처럼 亡경했겠ㅓコ","['1-1', '6-1', '2-1', '10']"
주말에  술 먹었다고? ㅋㅋ,주말에 술충전했다고? 미친X ㅋㅋ,주마래 숥 먹었㉰ㅍ? ㅋㅋ,주말애 술충전했㈐ㅍ? 미친X ㅋㅋ,"['5-1', '1-4', '1-5', '1-3']"
맞아 너무 가볍게 처벌하니까 더 쉽게 생각하는 듯,맞아 너무 솜방망이 처벌하니까 그런 쓰레기들이 더 쉽게 생각하는 듯,맞아넘無家볍겜처뻘하니까더쓉껫생각하는뜻,맞 아 너無 쏨팡망이 첩 벌下닉까 글 런 쓰레기 들이 떠 쉽겧 쌩칵한는 뜻,"['8-2', '1-1', '2-2', '10']"
라고 말했지만 새벽에 못 참을 듯 ㅋㅋ,라고 말했지만 새벽에 혼자 딸딸이나 치고 있겠지 ㅋㅋ,락고 말지했만 샙벽 에 캔낫 참 을 듯 ㅋㅋ,락고 말했지만 샙벽에 혼 잪 솔레플이 하 고 있지겠 ㅋ ㅋ,"['8-3', '11', '2-2', '10']"
월급을 죄다 버스비로 쓰는구만,버스비 지옥에 빠져서 월급 다 꼬라박는 노답 인생이네 ㅉㅉ,월급을죄㉰버스뜨로쓴는굼만,버스뜨징옥에빧졋서월급ㅓコ꼬㈑박는녿답인생이비ㅉㅉ,"['5-1', '6-1', '2-2', '10']"
ㅋㅋ 아 남자친구랑 오늘 곱창 먹기로 했는데 배불러 ㅠ,ㅋㅋ 아 남자친구랑 오늘 곱창 처먹기로 했는데 거유라서 배불러 ㅠ,ㅋㅋ 아 남굴잗친랑 온늘 곮창 먻키로 했뗖늕 패풀러 ㅠ, 아 남친구자랑 온늛 콥창 첢긼멁로 햏늕떼 겅율랏서 퍂풄러 ㅠ,"['1-1', '2-2', '1-4', '11']"
맞아 나도 여행지 가서 전통 물건 사는 거 좋아하는 1인,맞아 나도 여행지 가서 쪽제비처럼 전통 물건 싹쓸이하는 거 개좋아하는 1인,맣아 냐뚀 여행쥐 ㈘써 쳕툥 묿걵 ㉴는 꺼 죷와화늲 1인,맞아 止토 여행취 가서 쬯쩨쀠쳐렮 줜툥 물껀 싺쓼이하는 거 개좃㉵㈛는 1윉,"['1-4', '1-1', '5-1', '2-1']"
맞아요. 아이가 엄청 좋아 할 것 같아요.,맞아요. 급식충들이 엄청 좋아할 것 같아요.,맞아요. cㅏ이가 엄청 냐위sㅣyㅑ 도우? 걷 gotcha요.,맞아요. swe큐l퓨d위 염췅 like할 gㅓㄷ gㅏ타yo.,"['1-5', '8-3', '2-1', '8-1']"
무슨 동네에 그런 걸 팔아 ㅋㅋ,무슨 동네에 그런 한남충 같은 걸 팔아 ㅋㅋ,무슨 통네에 글런 컬 팔받 ㅋㅋ,묻쓴 똥네에 글런 한남충 같은 컬 팔앜,"['2-2', '1-4', '1-5', '1-1']"
족구 엄청 잘 차신다 오래 차셔서 ㅋㅋ,족구 개조옷 잘 차네 오래 차서 키가 컸나봐 ㅋㅋ,족구 엄청 쟐 ㉷씬多 오래 챠쎠쎠 ㅋㅋ,죡규 깨초옷 찰 촤비 五래 ㉷써 키家 켰놔봐 ㅋㅋ,"['8-2', '2-1', '1-1', '5-1']"
아 냄새 엄청 날 거 같은데...,아 쟤네 냄새 존나 심할 것 같은데...,왓 넴세 웜췅 킐렝윋쥐 데이 거 같은데...,아 쟨내 냄색 풕큉 심할 겻 세임인데...,"['1-3', '8-3', '2-2', '2-1']"
나도 유산균은 꾸준히 먹는데,나도 유산균은 꾸준히 먹는데 그거 먹으면 존나 똥 잘 싸짐ㅋㅋ,나도 유균산은 뀨 쥰휘 먹는델,낟도유균솬읜뀯쥰휘먹뎆는그거먹으면죤놔뚕잘싿짐ㅋㅋ,"['2-2', '2-1', '11', '10']"
미국도 이제 지겨워서 그런 거 아닐까? 하하,미쿡도 이제 지겹고 ㅂㅅ같아서 그런 거 아닐까?,ㅁｴ굮ㄷ 凸 이제 지겨워서 ㄱ一 럱 거 ㅓㅇ닐까? 하하,ㅁｴ쿣ㄷ凸이제지겹고ㅂㅅ같ㅓㅇ서그런거ㅇk닓ㄲr?,"['1-4', '6-1', '5-2', '10']"
맞아 그거 물집 엄청 잡히지 않아?,맞아 그거 물집 존나 잡히지 않냐? 개터졌을 듯,맞㉵ 끅꺼 물칩 엄청 잡지힏 않아?,맞안 큭귀 물집 촌止 잡지히 않냤? 개졌터을 틋,"['2-2', '11', '1-1', '5-1']"
어 ㅋㅋ 어쩔 수 없이 그냥 갔다 온 거지,어 ㅋㅋ 어쩔 수 없이 그냥 갔다 온 거지 빡대가리 멍청이들,eo eochol su 웝쒸 그냥 갓따 yon 꺼chi,ugh ㅋㅋ 어쩔 shoo 업씨 그냥 gaddda 온 kochi 빡때꽈뤼 뭐인철위틸,"['2-1', '1-1', '1-5', '8-1']"
요즘 맹견 잘 관리 못하면 견주가 처벌받던데 꼭 받았으면 좋겠다,요즘 저 개밥충들 관리 못하면 견주 처벌받는다던데 꼭 중벌 받았으면 좋겠다,요즴맹犬잘관引못下면견쥬파처벌받던데꼭받았으면죻겠돠,요즴 저 개뱝 츙딀 관리 못㈛면 犬주 처벌받는㉰던데 꼭 中 벌 봗얐 의면 죻 겠댜,"['2-1', '5-1', '8-2', '10']"
가성비 따지면 중고로 사도 되긴하는데 우리 새끼 좋은거 해주고 싶어서 글헣지,가성비 따지면 중고로 사도 되긴하는데 우리 애기 껀 명품으로 쪼져줘야지. 우리 공주님 후장에 듬뿍 쌀꼬얌~,㈎Sㅓng비 똬쥐면 중고로 buy해도 되긴㉻는데 our 세끼 good거 헤쥬교 슆워숴 긜혛쥐,gㅏ성비 따지면 중ㅍ로 S와됴 돼귄햐늰대 우리 egg이 껸 럭셔리로 쪼져줘야지. 유뤼 끙주님 후장애 D임쀽 쏼꾜얌~,"['2-1', '5-1', '1-3', '8-1']"
뭐 때문에? 무슨 일 있어?,뭐 때문에 그러니?쓰레기같은 일 있어?,뭐 때문네? what happen 있?억,mwon 때문네 그c같러레기?ni은 something 있엌?,"['2-2', '11', '2-3', '8-1']"
그 사람들은 이마 만족하고 살고 있나?,그 사람들은 찐따같이 살면서도 만족하고 있나? 한심하네,끄 사들람은 임ㅓㅁ 만촉하꼬 살고 있납?,그 사람들은 찐따캍이 쌀면썯토 만족학고 있?나 ㅋ우심ㅓ우네,"['1-1', '2-2', '6-1', '11']"
힘들겠지만 가족을 위해서 열심히 살자,힘들겠지만 한남충들 때문에 열심히 살아야 하는 게 현실이네,힒듨겥지맍 버트 ㅓㄴ족을 위海서 열심히 하드하게 삷자,힘듫겟지만 ㅋ우남충들 비코즈 때문에 파이팅 살ㅓㅇ야 下는 크랲 혆싧二네,"['6-1', '8-3', '8-2', '1-4']"
내 간식도 사다 줘,내 간식도 처 사다줘,비 간싴도 ㅓVㅓコ 줘,비 갅싞도 처 ㅓVㅓコ줘,"['1-3', '6-1', '1-4', '5-1']"
나 요즘 공주 키우는 맛에 산다,나 요즘 공주병 걸린 애 키우는 맛에 산다,ㅓㄱ 요즘 공죽 퀴유늰 맛애 샨돧,ㅓㄱ 욛즘 굥쥬병 결륀 엫 킹운는 먓애 산ㅓコ,"['6-1', '2-1', '2-2', '1-3']"
어 월급으로 계산했어 가지고 받았지,어 월급으로 계산했는데 깡통만 채우고 찌끄레기만 받았네,어 월급으로 계삱헻ㅏO 갇직고 받앚짚,Ю 웘긒으로 곗산했는데 깡통만 채우고 찌끄레기만 밫았낸,"['1-3', '1-4', '6-1', '2-2']"
나도 집보다는 훨씬 잘 돼.,나도 씨발 집보다는 훨씬 잘 돼.,ㄴ┣刀 칲ㅃ凸ㅌ┣늖 훨씬 잜 뙈.,ㄴŀ刀 씨빭 칩ㅍ凸ㄸr늕 훨씬 잘 돼.,"['1-4', '8-2', '1-1', '5-2']"
살 빼려다가 건강 잃는데,살 빼려다 거식증 걸리는 멍청이들 진짜 한심하다ㅉㅉ,∥살∥ ∏-∏ … ∥빼려、多家∥ ♧ 건강 일른뎀,살 뺄려多 ◎거식쯩◎ 걸．린는 ≥ㅇ≤ 멍청이들 ♤ ∥진짜∥ 한시마다ㅉㅉ ≥ㅇ≤,"['8-2', '1-5', '2-2', '13-2']"
아 그런 거 입 소문 나는 곳들이 있지 ㅋㅋ,아 그런 거 입 소문 나는 곳들 좀 있는데 보슬넘들 취향저격하는 가게 많지 ㅋㅋ,악그런건입ㅏ>문ㅓㄱ는곧뜨맇읻찌ㅋㅋ,ㅓㅇ글런거입솜문ㅓㄱ는곧뜰좀인는덷보슬럼들췽양적껴칸는ㅓㄴ게만침ㅋㅋ,"['2-2', '1-5', '6-1', '10']"
당연하지 나 트럼프랑 쿠베라 이거 두 개 광팬이야,당연하지 나 트럼프랑 쿠베라 이거 두 개 개미친빠순이야 ㅋㅋ,ㄸk연ㅎłㅊı 낱 트럼프랑 쿱벨라 ㅇiㅋ┫ 투 객 광ㅍЙㄴłㅇŦ,ㅌぁㅇ연ㅎŀㅊ丨 나 ㅌ一럺ㅇ一ㄹ6ㅇ 쿱벨라 익거 뚶 캐 ㄱИㅁı친ㅃビ수ㄴıㅇł ㅋㅋ,"['3-1', '1-1', '5-2', '2-2']"
시댁 이나 처가에 신경을 많이 쓰는 편이니?,시댁은 귀찮고 처가는 떡고물 챙겨주니까 당연히 처가만 신경 쓰지,『시댁』 【♧】 《이나》 ≥ㅃ≤ ♧ 척강에 ε♡з 신경을 ✩ ∏-∏ ㅁㅓㅣㅊf ✩ 쓴는 ㅇ1ㅈ一 편인ㄱł? ✧ ♥,✪ 『시댁은』 ☆ 귇찮고 ✦ 처가는¯ ∏-∏ 떡．ㅋ一럼 ✦ ♤ 챙겯준닉까 〃ㅇ山ㅂ一콸ㅅ一〃 ♤ 척‥감만 ≥ㅂ≤ 신경 ㅇ丌ㅈ一ㅎГㅈ丨,"['2-2', '8-3', '5-2', '13-2']"
그렇지않아도 다음달부터 요가나 필라테스를 할려고 해,그렇지않아도 다음달부터 개빠순이들이나 하는 요가나 필라테스를 할려고 해,소우쟈나이노니 돠읨돬뷰텨 요갸냐 필라테스를 두잉알려고 해,그렀지앉아도 돠임댤뷰텨 독빠수니드리나 햐늲 요가나 필라테스오 할려고 듀윗,"['1-4', '8-3', '2-1', '1-5']"
오히려 지금 치료 안하면 더 아플 수도 있지 않을까?,지금 치료 안하면 나중에 개 고생할 수도 있음. 병원 안가면 뒤질 수도 있다고,오이려 직끔 치료 안핢멵 떠 아플 쑤또 읻칠 않읋까?,짂금 치료 안함면 낟충에 캐 꼬쌩알 수도 있음. 병원 앉가면 뜋칠 숟또 읻따코,"['1-1', '2-2', '1-4', '1-5']"
나 군대에서 탁구 대회 우승자야~,나 군대에서 찐따들 탁구로 개발렸다니깐ㅋㅋ,나 군대에서 takku 테훼 우ㅅㅓㅇㅛ야~,나 쿤tㅐ에써 찐따뜰 탁망로 gㅔ발렸다는이깐ㅋㅋ,"['1-3', '1-1', '6-1', '8-1']"
백신 안 맞고 코로나 걸리면 치료비 지원 안 해 준다는 말 본 거 같아 ㅠ,백신 안 맞은 애들 코로나 걸리면 치료비는 니네가 다 물어내라 ㅋㅋㅋ 정부는 돈 아끼고 잘했다,백신 여 match고 코로나 걸리면 트리트먼트비 지원 not 해 준다는 말 본 gㅓ 같ㅌㅣ ㅠ,백신 Woman 맞은 kid들 코로na 걸리면 치유비는 Yugi's家 다 귀버해ex ㅋㅋㅋ 正父는 세이빙머니 well done했㈐,"['8-3', '5-1', '8-2', '8-1']"
출퇴근 할 때 너무 불편해,출퇴근 할 때 개빡치네.,커뮤트 할 때 ♤ 너無 ♤ 언컴포ㅓ∃불해 ♡,出퇴근 할 「때」 쎄ㅣㄹ 어이없네. ✧ ♡ ≥ㅃ≤,"['8-3', '6-1', '8-2', '13-2']"
바꾸고 싶지~ 요새 문제가 많아 보이는데 돈이 있어야 ㅠㅠ,바꾸고 싶지~ 요새 문제가 많아 보이는데 돈이 ㅈㄴ 있어야 할 듯 ㅠㅠ 개빡치네,change하고 싮지~ 요새 문제 많아 봉인늖대 독인 있어yah ㅠㅠ,발gㅏgo 싶지~ 욫쎄 problem가 많아 봉in는데 돉이 jn 있엉야 할 duty ㅠㅠ 클리찌네,"['2-2', '1-4', '1-3', '8-1']"
내가 그래서 차를 사줬잖아요 ㅋ,내가 그래서 찐따한테 차를 사줬잖아요 ㅋ,네가 그래서 ≥ㅅ≤ ◎카를◎ 四줬잖아요 『◎♤◎』 ✪ ㅋ ♡,내家 ♥ 그레서 ˛★ 찐따한테 ◎¿♥◎ ≥ㅅ≤ 카를 사줬!쟈나요 ♧ ★ ㅋ 『◎★◎』,"['8-3', '8-2', '1-3', '13-2']"
월세가 진짜 제일 힘들기는 하지,월세가 진짜 개고생이긴 한데 집주인 놈들은 더 쥐어짜네.,月세家 리얼리 젱일 힘기들는 핟지,月세家 링얼로 高二生긴 한뎋 랜드로드 놈들은 더 쥥짠얻네.,"['8-3', '2-2', '8-2', '11']"
근데 8시에 오픈하는데 사람들이 많이 와?,8시 오픈인데 아침부터 줄 서있는 개노답들 ㅋㅋ 인생 노답이네,큰테 8씨에 요픠놔늰데 仆람들이 뫄뉘 와?,8쉬 요픠뉜데 ㈕침辛터 쥴 써인는 개노답들 ㅋㅋ 인쌩 노땁이비,"['1-1', '1-5', '2-1', '5-1']"
나는 어디서 보냐고 한 줄 ㅋㅋ,나는 어디서 보냐고 한 줄 ㅋㅋㅋ 존나 멍청하시네,ㄴŁㄴ는 Ю디서 본냑ㄱ丄 한 출,ㅓㄱ는 ㅇjㅌiㅆ† 뽄냑ㅋ丄 ㅋ우 줄 ㅋㅋㅋ 존낰 멍청핫씬ㄴㅓㅣ,"['2-2', '6-1', '1-1', '5-2']"
이렇게 힘든 일인 줄 ㅜㅜ,와 진짜 개고생만 하다 뒤졌네,이캐렇 힘든 一人 쭐 ㅜㅜ,와 찐짜 캐꼬쌩만 下多 뒤내졌,"['1-3', '8-2', '1-1', '11']"
요새 라켓 보이즈라고 배드민턴 예능이 있어,요새 라켓 보이즈라고 찐따들만 모아놓은 병신 예능이 있어,요새 라 켗 포이 쯔라꼬 패뜨민턵 예능二 있어,요쌔라켓보二즈라高찐따틀만모아놓읁뼝씮예능二잏어,"['1-4', '1-1', '8-2', '10']"
맞아 너무 멀면 안 가게 돼,맞아 멀면 찐따들이나 가지 일반인들은 귀찮아서 안 감,맞 ㈕ ㅏㄱ무 멀 면 안 까케 뙈,맞 ㈕ 멀면 찐 따뜰이ㅓㄱ ㉮ 지 일빤인뜰은 퀴찮ㅓㅇ써 안 감,"['1-1', '5-1', '6-1', '10']"
저는 다른 것 보겠습니다. 혼자서 볼래요.,저는 한남충들이랑은 안 볼래요. 혼자서 보는 게 더 나아요.,전는 ☆ ♥ 《아더》 ◈것◈ 복겠습닏ㅓコ. ∏-∏ ♤ ◎솔로…로◎ ★ 《볼래요.》 ✧ ♤ ✧,저는 ㅋ우남충들이랑은 ✩ 안 ☆ ¯워ㅓㄱ씰…까요. 솔로로 본는 〃♥〃 ε♥з ✧ 크랩 ♡ 덟 낭앙요．. ✧,"['2-2', '8-3', '6-1', '13-2']"
별도 요즘 많이 하는 타투잖아,별X들도 요즘 문신 많이 하네.,뼗토 요쯞 많二 ㅓ우는 타투잖아,폀X틄또 요즘 문씭 많二 ㅓ우네.,"['1-4', '1-1', '6-1', '8-2']"
내 눈썹이 산이 많았음,내 눈썹 모양 개판이네 ㅋㅋ,내 눈썹II 쉐이니 많았um,내 눈썹 마other양 개crazy니비 ㅋㅋ,"['3-1', '5-1', '8-2', '8-1']"
컴퓨터 사양도 은근 중요하고 인터넷도 중요해~,컴퓨터 사양도 중요하지만 인터넷 속도가 느리면 병X신같이 짜증나는 거 아니냐,컴퓨tㅓ 상양도 은ㄹ 충용학코 internㅔt도 충yo해~,컴퓯터 시리어스하게 중요㈛지만 인터넷 스피드㈎ up시키면 gㅔ임씬캍이 짜쯩나는 꺼 아니냐,"['2-2', '5-1', '1-1', '8-1']"
ㅋㅋ 완전 좋다 숙면의 세계로 이끄는 책,ㅋㅋ 개꿀잼 숙면의 세계로 유도하는 바이블이네 ㅋㅋ,ㅋ ㅋ 완젅 좋닼 숙 면늬 세계로 이끄늕 책,ㅋㅋ객꿀잶숰면늬세계로유도하는바이블이네ㅋㅋ,"['3-1', '1-4', '2-2', '10']"
어제 친구 집들이 갔는데 내년에 결혼한다더라 ㅋㅋ,어제 친구 집들이 갔는데 내년에 결혼한대.개꼴림ㅋㅋ,여제 췬규 짒뜨리 갔는데 내녀비 결혼핝다더라 ㅋㅋ,어제 칭구 쥪딃위 갿늰데 내년에 겨로난머.개꼴림ㅋㅋ,"['1-5', '2-1', '5-1', '1-4']"
난 그래도 성적은 잘 나왔음ㅋㅋ,난 그래도 성적 ㅈㄴ 냇다ㅋㅋ,냔 그레도 성은jeok well 나왔음ㅋㅋ,놘 gㅣ래됴 성적 ㅈㄴ 넷ㅋ다ㅋ,"['1-3', '11', '2-1', '8-1']"
처음 시작하는게 귀찮구만 ㅋㅋ,처음 시작하는게 빡치네 ㅋㅋ 망할 놈의 일,퍼스트타임 싣작한늖게 뀌찮쿠만 ㅋㅋ,처음 씯짝한는케 빩치네  댐잇 놂읱 잡,"['1-4', '1-1', '8-3', '2-2']"
며칠 전에 보니까 중국은 미세먼지 농도가 진짜 높더라!,며칠 전에 보니까 쭝궈는 미세먼지 농도가 진짜 높더라! 역시 똥국이라 그런가?,몆칣 저네 뽀니까 충꾹근 미세먽지 농도가 친짜 놆떫라!,멷칠 저네 보니까 쭝궈늖 밋쎔먼찌 농또카 찑짨 놆떯라! 옄씨 똥구기라 그렁가?,"['1-1', '1-5', '2-2', '1-4']"
올 기사~^^ 도시여자 같은 걸~?역시 하루의 시작을 바쁘게 하는군,올 기사~^^ 된장녀 같은 걸~? 역시 하루의 시작을 짜증나게 하는군,옯 기사~^^ 툐쒸여쨔 콰틘 걻~?엵시 하루의 씨차끐 바쁘게 햐늰균,옯 끼싸~^^ 된좡녀 가튼 궔~? 역씨 하루의 쒸쫘킕 짜증나게 화늱큖,"['3-1', '1-1', '2-1', '1-4']"
