neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
월급을 죄다 버스비로 쓰는구만,버스비 지옥에 빠져서 월급 다 꼬라박는 노답 인생이네 ㅉㅉ,월급읋 죄㈐ 버스뜨로 쓰는구만,버스뜨 지옭에 빠져서 웗급 ㈐ 꼬ㅓㄹ밝늕 노답 인생이비 ㅉㅉ,"['1-4', '6-1', '5-1']"
ㅋㅋ 아 남자친구랑 오늘 곱창 먹기로 했는데 배불러 ㅠ,ㅋㅋ 아 남자친구랑 오늘 곱창 처먹기로 했는데 거유라서 배불러 ㅠ,ㅋㅋ 아 男九子친랑 五늘 곱창 먹로기 헸는대 베불러 ㅠ,ㅋㅋ 아 男口子친랑 五늘 곱창 처먹기로 헸는대 거라유서 베불러 ㅠ,"['8-2', '11', '1-3']"
맞아 나도 여행지 가서 전통 물건 사는 거 좋아하는 1인,맞아 나도 여행지 가서 쪽제비처럼 전통 물건 싹쓸이하는 거 개좋아하는 1인,맞ㅏ 낟도 영행지 카서 트래디션 good즈 리빙하는 겉 nice한는 one person,맞앗 나도 미투 tour 가서 쪽제비처럼 트래디션 굿즈 스윕한는 거 갣굿한는 원퍼슨,"['2-2', '8-3', '8-1']"
맞아요. 아이가 엄청 좋아 할 것 같아요.,맞아요. 급식충들이 엄청 좋아할 것 같아요.,맞요아. 아ㅣ가 엄청 좋아 핣 걷 같아요.,맞요아. 급식충들이 얾청 좋아할 걷 가타요.,"['1-4', '1-5', '11']"
무슨 동네에 그런 걸 팔아 ㅋㅋ,무슨 동네에 그런 한남충 같은 걸 팔아 ㅋㅋ,무슨 타운 에 그 런 걷 걸 파라 ㅋㅋ,왓타운에소낭한남충가튼걸파라ㅋㅋ,"['3-1', '8-3', '10']"
족구 엄청 잘 차신다 오래 차셔서 ㅋㅋ,족구 개조옷 잘 차네 오래 차서 키가 컸나봐 ㅋㅋ,죣규 얾청 잘 차신多 요래 차셔서 ㅋㅋ,죢九 개조옿 잛 챠네 오래 차서 키家 켰놔봐 ㅋㅋ,"['8-2', '1-4', '2-1']"
아 냄새 엄청 날 거 같은데...,아 쟤네 냄새 존나 심할 것 같은데...,아 냄쌬 엄청 날 겅 깥.테.은.,아 쨴네 냄새 존남 심할 컷 같데.은..,"['2-2', '1-1', '11']"
나도 유산균은 꾸준히 먹는데,나도 유산균은 꾸준히 먹는데 그거 먹으면 존나 똥 잘 싸짐ㅋㅋ,냐됴 프로바이오틱스는 꾸주니 먹는데,나도 피료뱌위요튁씨닌 뀨쥬뉘 멍는데 그거 머그면 레알 뚕 좔 싸짐ㅋㅋ,"['8-3', '2-1', '1-5']"
미국도 이제 지겨워서 그런 거 아닐까? 하하,미쿡도 이제 지겹고 ㅂㅅ같아서 그런 거 아닐까?,미弓도 이제 직경웟서 소나니 걷 낫일수도 있지 않을까? 하하,아메리카도 읻제 보링하고 ㅂㅅ같아서 글런 거 ㈕닐까?,"['5-1', '8-3', '2-2']"
맞아 그거 물집 엄청 잡히지 않아?,맞아 그거 물집 존나 잡히지 않냐? 개터졌을 듯,맞㉵ 그거 ☆ ♡ˆ ¯물찝 엄청 자피지 ♡ ◊않아?◊,맞아 ユ거 ≥ㅅ≤ ✦ 물찝 ≥ㅂ≤ 존¿㉯ ♧ ♤º ●✪● 〃잡히지〃 ✧ ♡ 〃♧〃 ≥ㅁ≤ 안냐? 개터졌을 ˙듣 ☆,"['5-1', '1-5', '13-2']"
어 ㅋㅋ 어쩔 수 없이 그냥 갔다 온 거지,어 ㅋㅋ 어쩔 수 없이 그냥 갔다 온 거지 빡대가리 멍청이들,uh ㅋㅋ 워쪌 drㅏnk 없이 긘냥 gwㅐ돠 온 걷지,엍 LOL yㅓ쭬 수 엾윇 gㅓ지 뽝대갸뤼 dumbass들,"['2-2', '2-1', '8-1']"
요즘 맹견 잘 관리 못하면 견주가 처벌받던데 꼭 받았으면 좋겠다,요즘 저 개밥충들 관리 못하면 견주 처벌받는다던데 꼭 중벌 받았으면 좋겠다,요즘 멩견 잘 괄ㄹl ㅁ丄ㅌŀ면 견주가 ㅊł벌받떤ㄷㅓㅣ 꼭 ㅂトㄷ┣ㅆ一면 좋갰다,요즘 저 게밥충들 괄ㄹi ㅁ丄ㅌŀ면 견주 처벌받는다던대 꼭 중벌 ㅂГㄷŁㅆ一면 ㅈ丄켇ㄸビ,"['1-5', '5-2', '1-3']"
가성비 따지면 중고로 사도 되긴하는데 우리 새끼 좋은거 해주고 싶어서 글헣지,가성비 따지면 중고로 사도 되긴하는데 우리 애기 껀 명품으로 쪼져줘야지. 우리 공주님 후장에 듬뿍 쌀꼬얌~,갓성비따지면중골로사도되하긴는데우리새끼좋은겂핻죽고싶어서글지헣,가비성 따지면 중골로 사 도 되는하긴데 우 리 애기 껀 명품을 로 쫃젿줭얃지. 울리 공 준님 후에장 듬 뿍 쌀꽁얌 ~,"['11', '2-2', '10']"
뭐 때문에? 무슨 일 있어?,뭐 때문에 그러니?쓰레기같은 일 있어?,왓 뗌문애? 무슨 일 있억?,와이 뗌문애 그러니?가루비같은 일 있엍?,"['8-3', '2-2', '1-3']"
그 사람들은 이마 만족하고 살고 있나?,그 사람들은 찐따같이 살면서도 만족하고 있나? 한심하네,그 사람들은 임ㅁł ㅁとㄴ족학ㄱ凸 살高 있나?,그 살람들은 찐ㄸł같二 살면서도 ㅁとㄴ족학ㄱ山 있나? 한심하네,"['2-2', '8-2', '5-2']"
힘들겠지만 가족을 위해서 열심히 살자,힘들겠지만 한남충들 때문에 열심히 살아야 하는 게 현실이네,힘들겠짐만 家을족 위해서 열심히 살잨,힘들겠지만 한충남들 때에門 열심히 살앙야 한는 게 현실二넽,"['8-2', '11', '2-2']"
내 간식도 사다 줘,내 간식도 처 사다줘,내 간食刀 ㅓVㅓコ 줰,내 간食刀 첩 ㅓVㅓコ줘,"['6-1', '8-2', '2-2']"
나 요즘 공주 키우는 맛에 산다,나 요즘 공주병 걸린 애 키우는 맛에 산다,止 욛즒 공주 키우는 맜에 산닪,止 요즘 끙주병 걿릱 앳 킹운는 맣에 삲답,"['1-4', '2-2', '5-1']"
어 월급으로 계산했어 가지고 받았지,어 월급으로 계산했는데 깡통만 채우고 찌끄레기만 받았네,어 웛끖스로 꼐싼했어 가지고 밨았지,어 월급브로 켸싼핻는떼 깡통만 채우코 찌끄레기만 받앟네,"['1-1', '1-4', '2-3']"
나도 집보다는 훨씬 잘 돼.,나도 씨발 집보다는 훨씬 잘 돼.,ㅓㄱ도 찝포多는 훨씬 짤 돼.,ㅓㄱ刀 씨발 집보다는 훨씬 찰 퇘.,"['8-2', '1-1', '6-1']"
살 빼려다가 건강 잃는데,살 빼려다 거식증 걸리는 멍청이들 진짜 한심하다ㅉㅉ,살 빼려다가 걵강 잃는텚,살 빼려다 커씩층 걸리는 멍청읻들 칞짥 핞심하다ㅉㅉ,"['1-1', '2-2', '1-4']"
아 그런 거 입 소문 나는 곳들이 있지 ㅋㅋ,아 그런 거 입 소문 나는 곳들 좀 있는데 보슬넘들 취향저격하는 가게 많지 ㅋㅋ,와 끄런 쿼 입 솜문 나는 콧틀입 윘쥝 ㅋㅋ,아 끄런 궈 입 숌뮨 냐늰 콧틀 쬼 윘늰뗃 폿쓸넘틀 췽향적격한는 각게 많지 ㅋㅋ,"['2-2', '1-1', '2-1']"
당연하지 나 트럼프랑 쿠베라 이거 두 개 광팬이야,당연하지 나 트럼프랑 쿠베라 이거 두 개 개미친빠순이야 ㅋㅋ,돵연화쥐 ㈏ 틀럼플랑 큐베롸 익거 듀 갞 팡팬이야,당연㈛지 ㈏ 틀럼플랑 큡벨롸 윅궈 듀 개 개미친빠순이야 ㅋㅋ,"['5-1', '2-2', '2-1']"
시댁 이나 처가에 신경을 많이 쓰는 편이니?,시댁은 귀찮고 처가는 떡고물 챙겨주니까 당연히 처가만 신경 쓰지,시덱 이나 처가에 싱꼉을 많읷 쓰는 편닌니?,싣덱근 귀창코 척간는 떡고물 쳉겨주니까 당녀니 척감만 신경 쓰지,"['1-3', '1-5', '2-2']"
그렇지않아도 다음달부터 요가나 필라테스를 할려고 해,그렇지않아도 다음달부터 개빠순이들이나 하는 요가나 필라테스를 할려고 해,그렇지않하刀 돠읨돨뷰퉈 요가나 필라테스를 활려교 해,그렇지않하刀 多음달父터 개뽜슌뉘딀뤼놔 화늰 요갸냐 필라테스를 할려고 해,"['8-2', '2-1', '2-3']"
오히려 지금 치료 안하면 더 아플 수도 있지 않을까?,지금 치료 안하면 나중에 개 고생할 수도 있음. 병원 안가면 뒤질 수도 있다고,오히려 나右 치료 안하면 더 페읹풅 핧 水刀 잊지 않읉까?,지긂 트리트먼트 女下멵 나중에 개 고생할 수도 잋음. 병원 女家면 다이 핤 수도 읻多高,"['8-3', '8-2', '1-4']"
나 군대에서 탁구 대회 우승자야~,나 군대에서 찐따들 탁구로 개발렸다니깐ㅋㅋ,냐 … ◎균대에숴◎ 탁구 ♧ ∥데훼∥ 우승자야~ ◎✩◎ ε♡з ♥,『나』 ε♡з ✪ 『균데애셔』 「찐따‥들」 ≥ㅃ≤ ♤ ✦ 「¿톽규료」 개발렸다니깐ㅋㅋ,"['2-1', '1-3', '13-2']"
백신 안 맞고 코로나 걸리면 치료비 지원 안 해 준다는 말 본 거 같아 ㅠ,백신 안 맞은 애들 코로나 걸리면 치료비는 니네가 다 물어내라 ㅋㅋㅋ 정부는 돈 아끼고 잘했다,백신 바쿠친 안 정 답 히트 코로㈏ 카카리면 치료 코 스트 지 원 안 두 잇 준㈐ 는 토크 본 거 같 ㈕ ㅠ,백신안맞은키즈코로나 바이러스걸리면치료비는 코스트와유네가㈐페이라ㅋㅋㅋ정부는머니㈕끼ㅍ잘했㈐,"['5-1', '8-3', '10']"
출퇴근 할 때 너무 불편해,출퇴근 할 때 개빡치네.,chuktion근 핰때 넘무 불pen해,출to근 할 때 gap빸친네.,"['2-2', '1-4', '8-1']"
바꾸고 싶지~ 요새 문제가 많아 보이는데 돈이 있어야 ㅠㅠ,바꾸고 싶지~ 요새 문제가 많아 보이는데 돈이 ㅈㄴ 있어야 할 듯 ㅠㅠ 개빡치네,에이꾸고 싶지~ 요세 문제 gㅔ 많텅 보이는대 money 있어야 crying,uhA꾸고 싶지~ 요세 몬쟈가 많아 보이는대 ΓㅏΠ이 J.N 있Ю야 할 듯 ㅠㅠ 개빡chㅣ네,"['1-3', '6-1', '8-1']"
내가 그래서 차를 사줬잖아요 ㅋ,내가 그래서 찐따한테 차를 사줬잖아요 ㅋ,내가 글랟써 카를 삳쭫짜낭뇨 ㅋㅋㅋ,낵까 그래서 소우데스네 찐따안테 카 오 삳줬잖앙요 ㅋ,"['2-2', '1-5', '8-3']"
월세가 진짜 제일 힘들기는 하지,월세가 진짜 개고생이긴 한데 집주인 놈들은 더 쥐어짜네.,월쎄까진짜쩨일힘들기는下지,月세家진짜캐코쌩이킨한데칩쭈인놈들恩더쮜어짜네.,"['1-1', '8-2', '10']"
근데 8시에 오픈하는데 사람들이 많이 와?,8시 오픈인데 아침부터 줄 서있는 개노답들 ㅋㅋ 인생 노답이네,바이더웨이 8시에 五픤下늰데 솨뢈딀위 마니 와?,8시 五픤人데 아침부터 라인 숴윘늰 노답 피플 ㅋㅋㅋ 윈생 노답二네,"['8-2', '2-1', '8-3']"
나는 어디서 보냐고 한 줄 ㅋㅋ,나는 어디서 보냐고 한 줄 ㅋㅋㅋ 존나 멍청하시네,난는 얻팃써 4ㄴ줄 lol,나는 얻딧서 뽀nya코 han chool ㅋㅋㅋ 존낙 멍청핫신네,"['1-1', '2-2', '8-1']"
이렇게 힘든 일인 줄 ㅜㅜ,와 진짜 개고생만 하다 뒤졌네,이렇개 ●★● 힘…든 ◊윌윈◊ ≥ㅂ≤ ◎♡◎ ◊？쥴◊ ≥ㅁ≤ ★ ♥ 「ㅜㅜ」¿,와 ‥ˆ 진짜 【◈게교셍먄◈】 화댜 뒤졌네¸,"['2-1', '1-3', '13-2']"
요새 라켓 보이즈라고 배드민턴 예능이 있어,요새 라켓 보이즈라고 찐따들만 모아놓은 병신 예능이 있어,요새 라켓 보이즈ㅓㄹ고 배⊆민턴 예능二 있어,요새 ㉱켓 보이즈㈑ㅍ 찐따들만 母아놓恩 Г≥0뚀 예능二 있ㅏㅇ,"['6-1', '5-1', '8-2']"
맞아 너무 멀면 안 가게 돼,맞아 멀면 찐따들이나 가지 일반인들은 귀찮아서 안 감,마자 투 머치 디스탄스 멀면 안 ㅓㄴ게 돼,예스 맞아 파르면 찐따ㅣПㅣㄹㅓㄱ ㅣㅛㅓㄴ 일바닌드른 귀찮아서 라지꾸데 안 감,"['3-1', '6-1', '8-3']"
저는 다른 것 보겠습니다. 혼자서 볼래요.,저는 한남충들이랑은 안 볼래요. 혼자서 보는 게 더 나아요.,저는 多른 것 보갰습니다. 혼자서 볼요래.,저는 한들충이남랑은 女 볼레요. 혼子서 보는 개 더 나요아.,"['11', '8-2', '1-3']"
별도 요즘 많이 하는 타투잖아,별X들도 요즘 문신 많이 하네.,N뚀도 요칌 많이 햐늰 타투찮아,뼐X띌뚀 요즴 문씬 많이 ㅓ우네.,"['2-1', '6-1', '1-1']"
내 눈썹이 산이 많았음,내 눈썹 모양 개판이네 ㅋㅋ,낼눈써비산이많았음,낸눈썹몽냥개파니네ㅋㅋ,"['2-2', '1-5', '10']"
컴퓨터 사양도 은근 중요하고 인터넷도 중요해~,컴퓨터 사양도 중요하지만 인터넷 속도가 느리면 병X신같이 짜증나는 거 아니냐,컴퓨터 사양도 응큰 충요하코 인터넫또 충요해~,컴퓨터 사양도 충뇨아치만 인터넫 쏚또카 느리면 뼝X씽까치 짜쯩나는 거 아니냐,"['1-1', '1-4', '1-5']"
ㅋㅋ 완전 좋다 숙면의 세계로 이끄는 책,ㅋㅋ 개꿀잼 숙면의 세계로 유도하는 바이블이네 ㅋㅋ,ㅋㅋ 완전 촣타 쑥면의 세계로 二끄는 첵, 개꿀잼 숙면의 새계로 유刀下는 바이블이네,"['1-1', '8-2', '1-3']"
어제 친구 집들이 갔는데 내년에 결혼한다더라 ㅋㅋ,어제 친구 집들이 갔는데 내년에 결혼한대.개꼴림ㅋㅋ,웓제 췬규 집들이 갔는뎅 내년에 결혼한㈐더㈑ ㅋㅋ,워제 친궃 쥡딀윗 갔는데 내년에 결혼한머.개꼴림ㅋㅋ,"['2-2', '2-1', '5-1']"
난 그래도 성적은 잘 나왔음ㅋㅋ,난 그래도 성적 ㅈㄴ 냇다ㅋㅋ,난 ユ래도 쉉젹읜 짤 냐왔읨,놘 그래도 쒕춱  냇㉰ㅋㅋ,"['5-1', '1-1', '2-1']"
처음 시작하는게 귀찮구만 ㅋㅋ,처음 시작하는게 빡치네 ㅋㅋ 망할 놈의 일,청음 시자카능게 귀구찮만 ㅋㅋ,청음 시하작는게 빡치네 ㅋㅋ 망알 노밍 일,"['11', '2-2', '1-5']"
며칠 전에 보니까 중국은 미세먼지 농도가 진짜 높더라!,며칠 전에 보니까 쭝궈는 미세먼지 농도가 진짜 높더라! 역시 똥국이라 그런가?,후위크 존에 보니까 China는 뮈세뭔쥐 nyong도과 Really 하이더라!,며칠 전에 씨잉 bㅗ니까 쯍궈늰 뮈세면쥐 뇽됴갸 리얼리 하이더라! yeok쉬 똥수프데스 그런가?,"['2-1', '8-3', '8-1']"
올 기사~^^ 도시여자 같은 걸~?역시 하루의 시작을 바쁘게 하는군,올 기사~^^ 된장녀 같은 걸~? 역시 하루의 시작을 짜증나게 하는군,올 gㅣ사~^^ 도시yoja 언튼 girl~?역시 hæru의 시자글 busy하게 어우는군,올 ㅣnㅓv~^^ 된장녀 언튼 걸~? yp시 day의 sㅣ자글 짜증나게 하는군,"['3-1', '6-1', '8-1']"
응 근데 그마저도 선임들 눈치를 많이 봐야 한다고 해.,응 근데 그마저도 꼰대들 비위를 많이 맞춰야 한다고 해.,응 근델 그ㅓㅁ저도 서님들 눈칠를 마니 봐야 ㅋ우ㅓコ고 햋.,응 근데 금맏젇도 꼰모들 뜨위를 마니 맏춰야 한닥꼬 햇.,"['6-1', '2-2', '1-5']"
너네는 코딩 할 줄 알아?,니네는 키보드 두들길 줄은 알아?,ㅏㄱ네 는 코 딩 할 수 있습니까?,니네는키보드ㅓ∃이핑할노우?,"['8-3', '6-1', '10']"
ㅋㅋ 울 아빠두 완전 타짜 내 동생도,ㅋㅋ 울 애비 완전 타짜고 내 동생은 쫄딱이네 ㅋㅋㅋ, 율 아빠투 완줜 ㅓ∃짜 내 동생도,ㅋㅋ 율 애뜨 완춴 ㅓ∃짜고 내 통쌩은 쬴땩위네,"['6-1', '1-1', '2-1']"
나는 청소요런거는 솔직히 안깨끗해도 먹는거 입에 들어가는거는 진짜 예민한데 ㅋㅋ,나는 청소는 솔직히 대충해도 먹는 거는 진짜 깐깐한 개쓰레기인데 ㅋㅋ,《나는》 쳥쇼요뤈겨늰 ◊♤◊ 솔직히 안깨끗해도 ♧ 〃이팅〃 ◯윕에◯ ≥ㅃ≤˛ ♥ 딀워과늰궈늰 〃☆…〃 뤼열 ✧ ♡ 예민한데 ㅋㅋ。,나는 청소는 º〃honest。ly〃 대츙해됴 ≥ㅇ≤ 『먹‥는』 ○✧○ ♧ 거는 ✧¸ ∥✦．∥ ♤ ●✩● 쥔쨔 ✧ 꺈1꽌환 ★ 【개씌레귀윈데】 ㅋㅋ ●♥●,"['8-3', '2-1', '13-2']"
진짜 차박 대박이다 와,진짜 차박 개쩔더라 와...,진짜 차밝 댑뱍윋돠 와,진짭 챠봒 개쩔더라 와...,"['1-4', '2-1', '2-2']"
중단 할 정도면 아직 심한 거 같은데,중단 할 정도면 아직 한남충들이 설치는 거 같은데,스탑 할 정면도 아찍 시어리스 한 커 깥은테,쭝딴 할 쩡토면 아찍 한들남충이 installation 하는 거 같데은,"['8-3', '11', '1-1']"
헐 갑자기 말도 없이?,헐 개자식들이 갑자기 말도 없이 튀네?,헕 갑ㅓㅛIㄴ 말도 없?이,헓 개식들자이 갑ㅓㅛIㄴ 말도 엂이 튀네?,"['6-1', '11', '1-4']"
나는 영어 문법이 너무 어려워서 포기하게 됐어 ㅋㅋ,영어 문법이 개 암걸리네.. 진짜 깡통 머리라 포기할 수밖에 없었다 ㅋㅋ,나는 영엄 뭄뻡비 너무 어려워서 폭깅악개 뒈써 ㅋㅋ,영어 문법잎 겠 앙걸리네.. 진짣 깡통 머리라 폭깅알 수바깨 업썯따 ㅋㅋ,"['1-5', '2-2', '1-3']"
그래도 한다는 사람들이 있는 한 계속 존재할걸?,개돼지들이 있는 한 이런 쓰레기들은 계속 존재하겠지,그래도 햔댜늰 샬뢈 딀위 있 는 한 곗속 존재할걸?,개돼쥐딀위 윘 늰 한 일런 쓰레기들은 곗 속 존재하겠지,"['2-2', '2-1', '10']"
그거 추천 엄청 하네 ㅋㅋ,그거 씹덕들이 앵나게 빨아주네 ㅋㅋ,ユ거 추첞 엶췅 화네 ㅋㅋ,긔궈 씺덕듨이 앵止게 뽨와쥬네 ㅋㅋ,"['5-1', '1-4', '2-1']"
나는 지하철 타고 쿠쿵쿠쿵 거리고 가는 거 좋아하는데 탈 일이 없어서 아쉬워,나는 지하철 타고 쿠쿵쿠쿵 거리고 가는 거 좋아하는데 김치년들이랑 같이 타기 싫어서 안 타,냔늰 쮜화쳘 타코 큐큥큐큥 걸릭고 간는 거 촣아하는떼 탈 윌윓 없어써 아쉬워,나는 치하철 탁꼬 큑큥큑큥 걸릭고 까는 궈 좋아하는데 귐취년딀위뢍 걑윜 탁끼 쓇워쎠 안 타,"['2-1', '1-1', '2-2']"
참다가 그러신 거 아닐까...,그 쓰레기같은 인간 참다참다 드디어 터지신 거 아닐까...,참㉰㈎ ♧ 그러신 거 ㅓㅇ닐까...,『ユ』 … ♧ T^T 쓰레ㅣㄴ같은 인간 ☆ 참ㅓコ참ㅓ!コ ✧ 〃♥〃 ⊆디어 터지신 거 아닐까...,"['6-1', '5-1', '13-2']"
둘 중에 어떤게 좋았어요?,둘 다 겁나 별로였는데 어떤 게 좋았냐니 ㅋㅋ,둛 ●☆● ○♡○ 중에 ♥ 어게떤 ★ 좋았어요?,둘 다 겊나 볉엿는로데 어떦 게 ≥ㅅ≤ ✪ 「좋냐았니」 T^T¯ ㅋㅋ,"['1-4', '11', '13-2']"
너 그때 사는 집에서 아직도 살고 있어?,니네 집 그 시궁창 같은 곳에서 아직도 버티고 있냐?,너 that time 사는 ju집써에 아직do 샬교 exㅣsto?,니네 집 긔 쉬귱챵 같은 got서에 아직도 버go tㅣ 윘냐?,"['2-1', '11', '8-1']"
눈 우박 비 다 싫어,눈 우박 비 다 그지 같아서 X같네,눈 라이트박 Rain 다 싫어,눈 right박 rain 올 오브 뎀 그지 bad아서 x 같네,"['8-3', '8-2', '8-1']"
ㅋㅋ 근데 그날은 가위바위보에서 졌음!,ㅋㅋ 근데 그날은 가위바위보에서 졌다니 암 걸린 늙은이처럼 운도 없네,ㅋ ㅋ 큰떼 끄날은 ㅓㄴ위ㅓA위 보ㅏVIЮ 졌음!,ㅋ ㅋ 끈 떼 크날은 ㅓㄴ위ㅓA위보ㅏVIЮ 졌ㅓコ니 암 컬 린 늙은이처럼 운 토 없네,"['6-1', '1-1', '10']"
아니 오늘 길 가다 짱 큰 강아지를 봤거든,아니 오늘 길 가다 짱 큰 개고기감을 봤거든,ㅓㅇ니 투데이 료듸 과돠 쨩 긔레위틔 큰 강ㅓㅇ지를 봤거든,ㅓㅇ니 튜데위 로드 ㅓㄴㅓコ 쫭 빅 개교귀걈읠 봤거든,"['6-1', '8-3', '2-1']"
다른 애기들은 밥만 먹던데,다른 애기들은 밥만 처먹던데 우리 애기는 귀엽게 쪼금씩 먹어서 좋네,다른 애기들은 밥만 먹떤ㅌ¶,다른 애기들은 밤만 ㅊ†먺덚ㄷㅓㅣ 우리 ㅇĦㄱ丨늕 귀역ㄲ¶ 쪼금씩 ㅁłㄱłㅅ亻 좆네,"['1-4', '1-5', '5-2']"
맞아 ㅠㅠ 내일 만나서 병원가자 너무 손목아파 ㅠㅠ,맞아 ㅠㅠ 내일 만나서 병원가자 너무 손목 아파서 자살각 나오네 ㅠㅠ,뫚와 ㅠㅠ 내一 뫈놔셔 병원㉮㈖ 녀뮤 손木㉵㈚ ㅠㅠ,먖와 ㅠㅠ 내一 만止서 병원갸쟈 너無 손목 아파서 좌솰갹 냐요비 ㅠㅠ,"['2-1', '8-2', '5-1']"
다들 시험 전이니까 건강 관리하자...,다들 시험 전이니까 약쟁이들처럼 밤새워 공부하지 말고 멍청이들아 건강 관리나 해라,따뜰 씨험 저니니까 건강 관리㈛㉶...,다들 씨험 처니니까 약째이뜰처럼 밤새워 콩푸하치 말고 멍청이들㈕ 건강 관리㉯ 해라,"['5-1', '3-1', '1-1']"
난...으아 어려워. 상상으로라도 선택하기 싫은걸,난...으아 어렵네. 한남충들은 상상으로라도 선택하기 싫은걸,놘..？.의야 여려워. ✩ 상상으!로라도 ♥ 선하택기 싫은걸,난...으아 ‥ ♥ 어렵네. 한남충들은 ♡ 상로라상으도 『션택화귀』 ♡ 쉻읜。궐,"['11', '2-1', '13-2']"
생각보다 근질 거리지 않아 오히려 정화가 되는 느낌이야 하고 나면 후레쉬해져,생각보다 개꿀인데? 오히려 정화된 느낌이야. 하고 나면 개잘돼.,생각볻다 ㄹ질 거리지 않앟 옹힐려 正火家 되는 느낌二야 ㈛ㅍ 나면 훌렛슁핻져,생각보㉰ 객꿀인데? 옹힐려 正火된 느낌二야. 하고 ㉯면 갣잘돼.,"['5-1', '8-2', '2-2']"
받은 것이 있으니 보답도 해야한다고 생각해.,받은 것이 있으면 당연히 보답해야지.안 그러면 개호구 취급당하는 거야.,받든 것이 있으니 보닾도 해야다한고 생갉해.,받든 것시 있으면 당히연 보닶해야지.앉 그멵러 개호구 취급당하늕 거야.,"['1-4', '2-3', '11']"
1시간이 제일 이상적인데 2시간 이상 해야지 게임 한것 같더라,1시간으로는 부족해. 2시간 이상 해야 제대로 된 겜생이지. 노답 인생 즐기자~,1시간二 묘싀틔 아二디어런데 2쉬갼 이상 해야지 게임 한것 괕뎌롸,1시간으로는 낫이나프. 2쉬관 이상 해야 프로게이머 生二쥐. 뇨댭 랴二픠 즐기자~,"['8-3', '8-2', '2-1']"
특히 결혼하니까 가족 건강이 내 일 번 소원이야,"특히 결혼하니까 가족 건강이 일순위지, 돈이 최고라는 말은 개소리야",특히결니하혼까家족건강이내일번小二원야,"특히결혼하니까가족건강이일위지순,돈二최라高는말은개소리야","['8-2', '11', '10']"
맞아 그런건 좀 생각하고 잘 만들면 좋을텐데,"맞아 그런건 좀 생각하고 잘 만들면 좋을텐데, 씹창 병1신들아",맞ㅓㅇ 그럱건 좀 생각하고 좔 먆딄멵 좋을텐데,"맞아 그럱건 죰 생각ㅓ우고 잘 먄딇멶 좋을텐데, 쓉챵 0뚀1싢들ㅓㅇ","['1-4', '6-1', '2-1']"
오 혹시 막 맛집 찾아다니고 하진 않아?,오 혹시 막 맛집 찾아다니는 한남충들 같은 건 아니지?,오 혹시 막 가이드라인 레스토랑 ㈗㈖㈐니ㅍ ㈛진 아나?,오 혹시 막 구루메 차자다니는 한남충들 ㉮長 건 ㉵니지?,"['8-3', '3-1', '5-1']"
출근 안한건 부러운데 아픈건 안부럽다...,출근 빠지는 건 개꿀인데 몸이 찌끄레기 된 건 개노답이네...,출근 女한건 부러운모 아픈건 안부럽다...,出근 빠지는 건 게꿀인모 몸二 찌끄래ㅣㄴ 된 건 개노답이네...,"['1-3', '6-1', '8-2']"
그거 요새 많이들 타더라 ㅋㅋ,그거 요새 개념없는 년들이 많이들 타더라 ㅋㅋ,댓거 요세 많이들 파더야이라 ㅋㅋ,댓 요세 개념없는 걸들즈이 많이들 타더라 ㅋㅋ,"['1-3', '8-3', '11']"
점심엔 원래 중국요리가 짱이지 ㅋㅋ,점심엔 원래 짱깨요리가 최고지 ㅋㅋ,런치엔 올릳진널리 중국교리가 짱읻지 ㅋㅋ,점심멘 원래 창인나 푿득가 벳슫트 지 ㅋㅋ,"['2-3', '8-3', '2-2']"
나는 달달 외우는 건 적성에 안 맞아서 그냥 꼼꼼히 여러 번씩 읽어서 기억나게 하는 편이야.,나는 암기충들처럼 달달 외우는 건 멍청해서 못하고 그냥 여러 번 읽어서 어떻게든 기억나게 하는 편이야.,나¿는 돨？돨 ≥ㅇ≤ ✦ 외우는 ♧ 《견》 ♧ ★ ◊젹쉉에◊ 안 맞아서 ✪ 그냥 ♤ 〃꾬‥꾬휘〃 여뤄 변、쒹 ✦ ♤º 읽서어 ˚★ 기나억게 ✩ 하는 ◊★◊ ♤ 편야이.,┛ 나는 ✪ 암들기충처럼 《댤돨》 ★ `「♧」 외유!늰 건 뭥췅해셔 ♧ ◈★◈ 《못하고》 긔냥 【✦】 ●♤● ✧ 여러 ◊변◊ ◊윍워숴◊ 어게떻든 ✩ 기나억게 하¿는 ★ ☆ ∥편이야.∥ ┛,"['11', '2-1', '13-2']"
그런 거야? 나는 차이를 모르겠어서 ㅜ,그런 거야? 난 내가 그지라서 차이를 모르겠어 ㅜㅜ,그런 꺼야? 냐늰 촤읶릘 모르겠어서,ユ런 꺼야? 난 내갸 크치라써 챠읶릘 묘릐겠여,"['2-1', '1-1', '5-1']"
맞아 그런 애들 너무 귀엽지 않아?,맞아 그런 급식충들 존나 귀엽지 않냐?,◯맞아◯ ≥ㅁ≤ 그런 ✧ 애듫 ✩ ◉너무◉ 귀옆지 ✪˜ ✧ 않ㅓㅇ? ✩,━ ◎맞ㅓㅇ◎ ♧ ε♥зº ◎그럲◎ ◊✧◊ 긊식충듩˙ ✩ 존나 귀엽지 【★】 ♡ 않냐¿? ♤ ━,"['6-1', '1-4', '13-2']"
